C?igo SIC;Id Cliente;Nombre Facturaci?;Nivel Tensi?;Propiedad Activo;Comercializador;Nit Comercializador;Tarifa Activa $/KWh;Tarifa Reactiva $/kVAr;Activa KWh;Reactiva Inductiva kVAr;Reactiva Capacitiva kVAr;Reactiva Inductiva Penalizada kVAr;Reactiva Capacitiva Penal kVAr;Total Reactiva Penalizada kVAr;$Peaje Activa;$Peaje Reactiva;Nro Periodos Penaliza;Valor P;Factor M;$Total;Observaciones
Frt07330;215708;FONDO GANADERO DEL TOLIMA -CARLIMA;3;N/A;BIA ENERGY S.A.S. E.S.P.;901588412-3;88.00022602;124.958216;73124.4;28168.8;0;0;0;0;6434964;0;0;0;1;6434964;
Frt20940;223627;CONVERTIDORA DE POLIMEROS CONPOL;1;100% USUARIO;BIA ENERGY S.A.S. E.S.P.;901588412-3;154.7244296;196.7315764;5202.37;1427.59;29.48;1;0;1;804934;196.7315764;3;0;1;805130.7316;
Frt31555;223638;COOPERATIVA MULTIACTIVA DE SERVICIOS SOLIDARIOS LTDA - REBAJA PLUS 1 ESPINAL;1;100% OPERADOR;BIA ENERGY S.A.S. E.S.P.;901588412-3;247.6509555;289.6581022;7732.66;2555.74;238.74;30;0;30;1915001;8689.743066;12;3;1;1923690.743;
Frt30497;223663;MAVI PAVIMENTACIONES SAS;2;N/A;BIA ENERGY S.A.S. E.S.P.;901588412-3;151.7482051;189.5688273;8793.55;3634.01;2718.97;197;0;197;1334405;448140.7078;28;57;12;1782545.708;
Frt31240;223664;MERCA PEZ DE COLOMBIA S.A.S.;2;N/A;BIA ENERGY S.A.S. E.S.P.;901588412-3;151.7482051;189.5688273;153258.34;48555.37;51.27;118;0;118;23256678;268429.4595;13;34;12;23525107.46;
Frt31004;223669;EL TEMPLO DE LA MODA SAS;1;100% OPERADOR;BIA ENERGY S.A.S. E.S.P.;901588412-3;247.6509555;289.6581022;5528.14;19.2;390.16;0;0;0;1369049;0;0;0;1;1369049;
Frt05346;223684;CILPAIS I.R.G. S.A.;3;N/A;BIA ENERGY S.A.S. E.S.P.;901588412-3;88.00022602;124.958216;22949.4;11874;4432.2;546;0;546;2019552;818726.2312;31;58;12;2838278.231;
Frt34093;223739;GASTRONOMIA ITALIANA EN COLOMBIA SAS;1;100% OPERADOR;BIA ENERGY S.A.S. E.S.P.;901588412-3;247.6509555;289.6581022;2522.03;785.66;34.61;2;0;2;624583;579.3162044;1;0;1;625162.3162;
Frt31911;223748;INTERVACACIONES GUADAIRA RESORT S.A.;2;N/A;BIA ENERGY S.A.S. E.S.P.;901588412-3;151.7482051;189.5688273;25738.2;8307.72;1.71;112;0;112;3905726;21231.70866;14;11;1;3926957.709;
Frt18522;223763;INDUSTRIA COLOMBIANA DE CONFECCIONES S.A. INCOCO S.A. - ALMACEN NO.7 - ALBERTO VO5;1;100% USUARIO;BIA ENERGY S.A.S. E.S.P.;901588412-3;154.7244296;196.7315764;4962.51;949.59;5.55;0;0;0;767822;0;1;0;1;767822;
Frt28569;223766;PLANTA EL BOSQUE Y HUEVO SAN PAO SAS;1;100% USUARIO;BIA ENERGY S.A.S. E.S.P.;901588412-3;154.7244296;196.7315764;48576.48;28480.62;36.12;4540;0;4540;7515968;7145290.854;31;30;8;14661258.85;
Frt36281;223773;GRUPO BROGOMA S.A.S. - HOTEL EL BOSQUE;1;100% USUARIO;BIA ENERGY S.A.S. E.S.P.;901588412-3;154.7244296;196.7315764;10456.03;526.93;0;0;0;0;1617803;0;0;0;1;1617803;
Frt23425;223832;CAMARA DE COMERCIO DE HONDA;1;100% USUARIO;BIA ENERGY S.A.S. E.S.P.;901588412-3;154.7244296;196.7315764;5163.24;9.4;372.28;0;0;0;798879;0;0;0;1;798879;
Frt23851;223870;TERMINAL DE TRANSPORTES HONDA;1;100% USUARIO;BIA ENERGY S.A.S. E.S.P.;901588412-3;154.7244296;196.7315764;9311.79;1111.05;1232.71;0;0;0;1440761;0;0;0;1;1440761;
Frt38215;265634;ALBATROSS INVERSIONES Y NEGOCIOS SAS - GRANJA LA VICTORIA;2;N/A;BIA ENERGY S.A.S. E.S.P.;901588412-3;151.7482051;189.5688273;690.54;303.14;0;3;0;3;104788;6824.477783;25;46;12;111612.4778;
Frt42759;360953;TRANSPORTADORA DE GAS INTERNACIONAL SA ESP - COELLO;1;100% OPERADOR;BIA ENERGY S.A.S. E.S.P.;901588412-3;247.6509555;289.6581022;2759.39;40.42;117.23;0;0;0;683366;0;0;0;1;683366;
Frt42761;360954;TRANSPORTADORA DE GAS INTERNACIONAL SA ESP - HERVEO;1;100% USUARIO;BIA ENERGY S.A.S. E.S.P.;901588412-3;154.7244296;196.7315764;8469.78;4068.32;25.62;290;0;290;1310482;684625.8857;31;47;12;1995107.886;
Frt52552;626395;FEMSA - CEDI - IBAGUE (COCA COLA);3;N/A;BIA ENERGY S.A.S. E.S.P.;901588412-3;88.00022602;124.958216;15391.5;1053;0;0;0;0;1354455;0;0;0;1;1354455;
Frt55865;626524;CARLIMA VDA LA INSULA HDA LOS CAUCHOS;1;100% OPERADOR;BIA ENERGY S.A.S. E.S.P.;901588412-3;247.6509555;289.6581022;1114.62;292.38;0.57;53;0;53;276037;92111.2765;27;20;6;368148.2765;
Frt55860;626525;CARLIMA VDA SOCORRO-GUAYABOS- COYAIMA;1;50% OPERADOR;BIA ENERGY S.A.S. E.S.P.;901588412-3;201.1876926;243.1948393;8246.58;2504.34;173.16;10;0;10;1659110;4863.896786;13;13;2;1663973.897;
Frt55989;626534;CARLIMA KMT 1 ANTIGUA VIA AL GUAMO;1;100% USUARIO;BIA ENERGY S.A.S. E.S.P.;901588412-3;154.7244296;196.7315764;15128.96;5790.36;7.32;70;0;70;2340820;82627.26207;24;19;6;2423447.262;
Frt56457;626547;CARLIMA CRA 14 75A-29 LOC 2 ESTACION D;1;100% USUARIO;BIA ENERGY S.A.S. E.S.P.;901588412-3;154.7244296;196.7315764;4243.76;1979.68;636.98;91;0;91;656613;107415.4407;28;19;6;764028.4407;
